figure,title,format,file
1,IC assembly process,png,figures/final/IC_assembly_process.png
2,Country and business model,png,figures/final/figure2_country_business_map.png
2,Country and business model,svg,figures/final/figure2_country_business_map.svg
3,Profitability by business model,png,figures/final/figure3_profitability_bar_chart.png
3,Profitability by business model,pdf,figures/final/figure3_profitability_bar_chart.pdf
4,Revenue and company coverage,png,figures/final/figure4_financial_revenue_coverage.png
4,Revenue and company coverage,pdf,figures/final/figure4_financial_revenue_coverage.pdf
5,Memory price divergence,png,figures/final/figure5_memory_price_divergence.png
5,Memory price divergence,svg,figures/final/figure5_memory_price_divergence.svg
6,Value-chain revenue decline,png,figures/final/figure6_value_chain_revenue_decline.png
6,Value-chain revenue decline,pdf,figures/final/figure6_value_chain_revenue_decline.pdf
7,IDM segment revenue change,png,figures/final/figure7_idm_segment_change.png
7,IDM segment revenue change,pdf,figures/final/figure7_idm_segment_change.pdf
8,Export controls comparison,png,figures/final/figure8_export_controls_test.png
8,Export controls comparison,pdf,figures/final/figure8_export_controls_test.pdf
9,DRAM capacity and price,png,figures/final/figure9_dram_capacity_vs_price.png
9,DRAM capacity and price,pdf,figures/final/figure9_dram_capacity_vs_price.pdf
10,Illustrative supply and demand mechanism,png,figures/final/figure10_supply_demand_mechanism.png
10,Illustrative supply and demand mechanism,pdf,figures/final/figure10_supply_demand_mechanism.pdf
11,Revenue share by value chain,png,figures/final/figure11_value_chain_revenue_share.png
11,Revenue share by value chain,pdf,figures/final/figure11_value_chain_revenue_share.pdf
12,Top three companies by revenue,png,figures/final/figure12_top3_revenue.png
12,Top three companies by revenue,pdf,figures/final/figure12_top3_revenue.pdf
13,Top three revenue spotlight on 2023,png,figures/final/figure13_top3_revenue_2023.png
13,Top three revenue spotlight on 2023,pdf,figures/final/figure13_top3_revenue_2023.pdf
