year,chip_name,vendor,launch_date,memory_gb,fp16_tflops,tdp_watts,estimated_shipments_units,estimated_asp_usd,estimated_revenue_usd_m,description,analysis_period,source_validation_caution,launch_date_parsed,before_launch_year_flag,zero_asp_flag,zero_memory_flag,calculated_revenue_usd_m,revenue_abs_diff_usd_m,revenue_review_flag,all_market_values_estimated,performance_per_watt_tflops,performance_per_1000_usd
2020,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,6128,15000,91.9,Volta data center GPU,Smart automobile expansion,False,2017-05-10,False,False,False,91.92,0.01999999999999602,False,True,0.3333333333333333,6.666666666666667
2021,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,2719,15000,40.8,Volta data center GPU,Smart automobile expansion,False,2017-05-10,False,False,False,40.785,0.015000000000000568,False,True,0.3333333333333333,6.666666666666667
2022,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,3098,15000,46.5,Volta data center GPU,Transition Year,False,2017-05-10,False,False,False,46.47,0.030000000000001137,False,True,0.3333333333333333,6.666666666666667
2023,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,2572,15000,38.6,Volta data center GPU,AI expansion,False,2017-05-10,False,False,False,38.58,0.020000000000003126,False,True,0.3333333333333333,6.666666666666667
2024,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,3437,15000,51.6,Volta data center GPU,AI expansion,False,2017-05-10,False,False,False,51.555,0.045000000000001705,False,True,0.3333333333333333,6.666666666666667
2025,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,2504,15000,37.6,Volta data center GPU,AI expansion,True,2017-05-10,False,False,False,37.56,0.03999999999999915,False,True,0.3333333333333333,6.666666666666667
2026,NVIDIA V100,NVIDIA,10/5/2017,32,100,300,2873,15000,43.1,Volta data center GPU,AI expansion,True,2017-05-10,False,False,False,43.095,0.005000000000002558,False,True,0.3333333333333333,6.666666666666667
2020,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,32054,15000,480.8,"Ampere, ML training standard 2020-2022",Smart automobile expansion,False,2020-05-14,False,False,False,480.81,0.009999999999990905,False,True,0.78,20.8
2021,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,204990,15000,3074.8,"Ampere, ML training standard 2020-2022",Smart automobile expansion,False,2020-05-14,False,False,False,3074.85,0.04999999999972715,False,True,0.78,20.8
2022,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,145343,15000,2180.1,"Ampere, ML training standard 2020-2022",Transition Year,False,2020-05-14,False,False,False,2180.145,0.04500000000007276,False,True,0.78,20.8
2023,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,76814,15000,1152.2,"Ampere, ML training standard 2020-2022",AI expansion,False,2020-05-14,False,False,False,1152.21,0.009999999999990905,False,True,0.78,20.8
2024,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,28956,15000,434.3,"Ampere, ML training standard 2020-2022",AI expansion,False,2020-05-14,False,False,False,434.34,0.03999999999996362,False,True,0.78,20.8
2025,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,26870,15000,403.1,"Ampere, ML training standard 2020-2022",AI expansion,True,2020-05-14,False,False,False,403.05,0.05000000000001137,False,True,0.78,20.8
2026,NVIDIA A100,NVIDIA,14/5/2020,40,312,400,32264,15000,484.0,"Ampere, ML training standard 2020-2022",AI expansion,True,2020-05-14,False,False,False,483.96,0.040000000000020464,False,True,0.78,20.8
2023,NVIDIA H100,NVIDIA,22/3/2023,80,989,700,582977,30000,17489.3,"Hopper, defined 2023-2024 AI boom",AI expansion,False,2023-03-22,False,False,False,17489.31,0.010000000002037268,False,True,1.4128571428571428,32.96666666666666
2024,NVIDIA H100,NVIDIA,22/3/2023,80,989,700,2466989,30000,74009.7,"Hopper, defined 2023-2024 AI boom",AI expansion,False,2023-03-22,False,False,False,74009.67,0.029999999998835847,False,True,1.4128571428571428,32.96666666666666
2025,NVIDIA H100,NVIDIA,22/3/2023,80,989,700,1874943,30000,56248.3,"Hopper, defined 2023-2024 AI boom",AI expansion,True,2023-03-22,False,False,False,56248.29,0.010000000002037268,False,True,1.4128571428571428,32.96666666666666
2026,NVIDIA H100,NVIDIA,22/3/2023,80,989,700,1126912,30000,33807.4,"Hopper, defined 2023-2024 AI boom",AI expansion,True,2023-03-22,False,False,False,33807.36,0.040000000000873115,False,True,1.4128571428571428,32.96666666666666
2024,NVIDIA H200,NVIDIA,15/4/2024,141,989,700,115829,32000,3706.5,"Hopper refresh, 141GB HBM3e",AI expansion,False,2024-04-15,False,False,False,3706.528,0.027999999999792635,False,True,1.4128571428571428,30.90625
2025,NVIDIA H200,NVIDIA,15/4/2024,141,989,700,573022,32000,18336.7,"Hopper refresh, 141GB HBM3e",AI expansion,True,2024-04-15,False,False,False,18336.704,0.004000000000814907,False,True,1.4128571428571428,30.90625
2026,NVIDIA H200,NVIDIA,15/4/2024,141,989,700,487597,32000,15603.1,"Hopper refresh, 141GB HBM3e",AI expansion,True,2024-04-15,False,False,False,15603.104,0.003999999998995918,False,True,1.4128571428571428,30.90625
2023,NVIDIA L40S,NVIDIA,8/8/2023,48,362,350,51592,15000,773.9,Ada Lovelace inference,AI expansion,False,2023-08-08,False,False,False,773.88,0.01999999999998181,False,True,1.0342857142857143,24.133333333333333
2024,NVIDIA L40S,NVIDIA,8/8/2023,48,362,350,327147,15000,4907.2,Ada Lovelace inference,AI expansion,False,2023-08-08,False,False,False,4907.205,0.005000000000109139,False,True,1.0342857142857143,24.133333333333333
2025,NVIDIA L40S,NVIDIA,8/8/2023,48,362,350,359171,15000,5387.6,Ada Lovelace inference,AI expansion,True,2023-08-08,False,False,False,5387.565,0.035000000000763976,False,True,1.0342857142857143,24.133333333333333
